key,value
44273,85816
33555,6383
47777,13142
45710,72507
34618,75630
35819,74930
46484,59117
43207,806
40144,7846
16736,83448
18131,20007
17002,53857
18751,10922
35419,7734
35222,90451
13972,78640
11111,98467
20530,71895
49835,5538
6799,60958
26513,14403
47541,26855
6465,61299
4739,60330
18020,81018
29736,93873
8182,81294
8986,81561
15558,77275
31629,40576
5068,9275
21029,96703
11831,62291
5350,99021
47559,68459
10196,25099
13879,90071
47265,88936
27736,41102
44527,7305
29430,94617
45583,32852
39035,81456
43985,30760
28686,45150
11032,67710
29288,18299
10794,98068
42480,76361
16947,9096
23579,97705
13974,21564
15829,48966
9705,77867
32773,20066
48628,40931
7649,77583
20695,38817
1401,88679
33038,4746
43034,46529
20446,78118
40870,41554
7266,78951
35202,20618
3361,53244
17725,40252
46981,44666
10388,69968
17789,89163
29971,45607
18024,94468
33777,31630
41602,71657
31499,71424
3994,13222
42780,62397
48641,71860
28412,89681
48151,32383
35096,1285
10525,80724
9223,91109
36156,43728
14368,65404
48796,78539
46604,53060
35025,39933
23521,91102
32531,27451
554,88300
28523,47158
45442,24181
26528,39411
23072,64815
24396,62573
28876,37969
23777,72070
20799,52750
27468,65867
2972,83776
27353,6172
3238,30822
28502,49552
35642,98650
21112,34377
18836,33181
33372,46585
42149,91672
47608,60933
16981,61155
44583,95142
38601,57996
15793,79790
7900,39882
29877,4719
3132,93000
6502,90546
14854,16467
30931,31841
9780,47632
17280,83731
38913,28639
11486,44549
23831,54460
3472,90663
23600,17958
40151,77430
9165,2072
34995,22154
32090,89284
28758,28629
1995,11052
2394,94455
34216,42676
20738,52884
44873,84163
10670,44944
3181,98444
24218,46771
46348,70279
21345,88021
46010,30637
30970,72322
21243,56219
5425,45819
13844,32610
33064,39899
47366,27863
8699,52494
31349,41113
46340,1813
4574,45546
12905,6472
39105,3878
29833,84672
17075,15133
39965,93290
26334,24604
13211,80264
27251,935
15953,54934
44291,90582
47246,24875
33994,15730
14299,78051
40592,851
39191,84316
22910,18080
23398,12628
10628,17985
44395,4177
31691,32550
7121,78482
35127,59220
49329,48527
40565,12002
33028,33231
25099,33005
39570,66006
17668,36977
6488,38178
13398,24295
12869,12633
22100,15614
11037,82524
31806,43087
5884,22688
21685,62733
48072,21367
8431,10883
2378,21049
17284,63007
22071,45188
21462,63636
68,81523
1497,21364
29695,96615
18244,51111
6427,74733
41927,27715
11086,62249
6515,14989
47481,76583
10053,47830
12555,61949
26333,43854
7072,89782
11290,60771
21549,42000
40675,27598
40521,96969
12536,39244
9658,69526
4590,22238
5562,52273
3828,11746
46412,10538
19707,78535
185,44137
32300,95793
8698,37554
25234,28445
21707,57050
39226,47033
23615,54146
5091,6090
1371,22182
37603,3750
4674,46973
31150,1370
12982,93949
21025,70794
16012,89129
2160,66449
48629,23165
36127,65641
16686,9943
49833,89136
10554,43678
19588,1412
34424,10978
42610,4436
21419,50985
11666,72188
6881,86855
13408,74449
49577,59117
1642,6893
10859,4405
17110,57148
6288,33322
2361,15374
43682,67227
48566,81934
45100,73771
43364,84921
14319,51586
45561,16465
38825,73621
20864,58165
40244,6199
18707,62720
20144,26383
19351,32039
19667,39105
48998,76979
28854,13136
35257,16921
36556,75221
36959,30368
36671,43865
49063,78669
5403,31993
10548,89508
25788,69595
39157,82590
23200,39444
5671,89418
42142,64008
40583,99252
35549,46176
45985,74075
8753,64665
37785,34602
43202,69810
26344,62099
6172,74868
9646,52110
27899,75600
9417,32735
35957,45247
26033,45808
44540,90841
36529,67628
47335,74458
25400,59727
26966,20313
12978,44445
7201,51
37893,20764
21640,17803
22157,14690
3643,13195
610,61404
7442,41667
5312,59800
6279,29994
13807,65781
37429,67954
14309,89560
44116,28893
31383,55676
4992,74283
19056,62650
14323,10099
24031,73327
27925,6180
3938,2520
37329,71806
27890,97930
14637,38336
36045,38852
49415,77414
45619,55242
9838,13337
6602,58390
15314,30881
34578,92326
30194,74438
37923,17333
1537,13100
2959,8284
42486,50802
48527,69477
41353,89556
49324,15684
3613,76562
37380,64153
12849,29335
39016,21699
41163,57987
19363,6393
20613,76160
33183,63726
37499,66768
26506,84414
37612,37733
7993,24582
12470,54388
7876,97685
12206,94562
3638,2319
23529,84281
7583,97354
48873,51331
25332,59628
23667,63121
46013,78761
45626,15529
9809,58578
15006,7714
21204,51472
4512,37157
43858,18964
16004,25284
26593,57171
33966,14870
38797,82368
37182,97594
38127,49615
44761,63301
47572,11989
47365,79926
32929,3299
23183,50452
34430,9244
2362,34011
28751,98668
32927,8751
39141,52438
21844,38498
10069,98605
8881,68782
37856,99693
46849,12364
42002,43147
27072,39329
26219,37310
23089,50000
34950,26131
30995,35481
36022,75409
48523,20922
2499,44698
26707,95362
38115,42028
12221,56965
8165,61453
44134,93944
8092,77442
8132,36624
12383,28071
43756,16077
3752,70532
20654,3447
21336,46870
45436,83262
35658,4945
46872,20566
22637,91372
42289,10359
628,87405
3707,49198
31379,76266
34955,43901
45907,72538
47986,17042
16760,31688
16350,4357
13577,87002
21043,9654
33074,34304
26576,321
10778,11762
9765,33709
19013,1368
10022,73828
11660,67170
35955,80176
35709,43275
22692,6110
24950,88699
9082,70568
49333,69521
17785,99394
9611,94010
34761,2188
35204,12223
43045,92003
40941,29302
3660,42110
9891,34721
46902,22309
19927,62947
2292,72889
14924,59715
33150,88233
31227,69191
6469,83441
9104,5251
1710,7329
43683,20576
43166,66369
2075,21325
1420,32219
12135,52508
37232,57303
29837,95262
48485,27412
351,81446
20782,51805
48633,66371
10758,60281
31703,29974
17017,83731
17705,520
30296,26078
22911,55394
15244,85196
19370,94209
30726,94236
32625,85347
43970,47814
43217,33401
297,33963
16816,63901
35556,25269
325,6689
10907,10870
405,36729
39007,60299
47415,88778
33746,56940
21762,27408
47816,2587
47456,71346
11973,88714
20495,11671
27194,41851
48332,8476
4280,1957
6289,10301
21183,25987
46637,41697
25247,20485
27520,73501
13496,9277
18539,22147
15319,77582
43829,37002
29367,82588
19557,67485
44085,36609
43657,7340
47507,7237
2625,8745
5109,39117
39637,56769
37604,74566
44559,32749
43707,72585
1374,71429
23861,94887
39459,98691
46697,11547
22093,4749
35102,73162
40944,33493
4087,96393
33879,16873
38863,7705
40330,65665
42972,91762
7629,21740
13695,84410
30357,46999
15567,64539
30523,63502
30849,31883
5525,40632
3873,58365
34582,5122
30115,94075
47788,42274
6468,84396
21031,67245
30414,70218
37151,92546
13102,59907
7554,61449
2601,16330
40093,66021
36886,81726
28628,76251
30041,14776
6364,24819
3,28417
42220,61695
42439,42068
18928,69750
20826,88778
251,67467
13621,99553
36347,37595
39308,33652
31887,60168
47720,72572
45608,93524
40458,42832
730,37934
19681,17710
10476,81498
21414,52275
49968,55114
14711,51241
45201,45422
27495,2078
46238,4664
48556,97418
38533,50852
40861,4695
27409,38824
14058,20862
43989,94419
48422,52134
13772,578
27439,20094
3022,77368
9255,37606
9381,57537
20781,94902
25620,56715
15762,88019
22546,56156
20704,31395
45836,95899
18722,90795
1310,62468
6415,82941
47985,68694
20425,5891
40112,47212
30802,36284
48901,45942
6500,2137
35303,60606
48437,64683
12368,2369
6639,22117
1330,61672
4418,36541
42462,59318
42846,90277
35476,99507
40980,54763
4612,63746
8395,95416
1647,14333
24155,94065
24500,28103
4829,52075
44905,11781
34915,69697
47584,19213
25291,88165
22186,23462
44979,77057
29125,89541
43262,14659
42528,93827
26948,79320
12046,44350
30630,63743
21974,78338
11143,85398
14605,63130
22028,81567
14756,10347
22700,8727
11083,76373
24206,41203
26066,97488
46501,40362
13365,31522
25832,57903
3891,75192
26742,32050
11132,94508
48621,75764
15162,18663
42278,76790
47266,4848
2417,93553
22765,6267
11448,12905
46887,33008
32525,72475
31066,2116
10301,27013
28134,54538
11446,4229
23279,9801
43975,95345
22613,35997
23969,18764
47236,28474
8815,81727
49840,85062
9023,61102
30897,45977
28343,84690
6367,1422
39567,32596
11,89066
16884,37889
5367,54142
12205,93313
26772,78106
32249,99244
31715,34058
5735,95610
46196,9285
3007,58874
26773,29605
22337,43871
1606,44292
8206,19825
15716,74664
30633,98399
40073,14163
5986,96635
16865,98007
25381,98033
4057,44941
2698,10238
5720,58330
8586,49250
4293,99773
49751,62309
1019,72392
24498,59780
18350,52578
40452,20871
18396,63940
27427,14868
14716,7846
34241,39240
20005,4290
20356,50479
16289,57874
46847,70934
28769,43091
40524,47106
27473,50124
1845,1648
24656,22928
47993,80105
34602,76501
49221,53847
4427,39134
10040,55901
31964,31737
1868,75089
23404,13297
32583,35399
34911,53288
28079,57929
44312,94468
38176,89676
30373,15187
28500,85649
20810,29075
35236,10254
9059,14202
25364,52269
42586,48826
7243,18490
1313,80036
2431,76287
9374,52470
38911,23508
43713,66282
49045,44840
11460,29559
4234,17376
42283,52029
44024,56134
29447,42522
22038,96764
46120,24392
45059,32135
7867,83068
6700,48402
22823,84757
4193,86402
25477,43675
3700,20398
31033,24918
41983,1837
6196,28664
4909,26723
20880,50639
32704,82002
22577,28983
3313,88244
45948,88317
37730,17788
34810,25451
35517,56080
21334,59488
28648,79060
22018,8212
23010,19323
20340,40543
30543,41310
39106,5231
30709,2577
16507,25507
14488,79318
34858,42529
44455,35920
291,83192
28963,50379
25013,31643
21301,31887
8923,2398
22672,48677
22512,42780
27453,17630
45855,19778
18089,99443
22829,49300
23387,62887
30733,58263
32660,83876
2521,64258
1074,41217
14775,60539
40066,58017
11680,42241
6785,90339
36859,33685
7476,25475
26046,33018
1857,33801
24848,27924
33123,64521
46961,22243
37642,98858
20171,64966
482,46467
46867,88821
18963,48157
23069,12993
12838,46918
3384,94907
19896,56448
20029,96944
6365,23924
314,65396
4103,2772
19530,22036
11473,62119
21897,51378
4712,72190
1212,24527
27278,62977
48064,71530
12492,83645
33247,62822
19145,19085
26420,86434
35859,75044
44130,57555
47935,91550
20297,49755
49083,96361
44096,49691
8243,37707
15008,85443
14576,41530
25722,82840
17796,74968
14918,26202
31141,33608
19206,49694
24048,47466
34325,97694
22854,36958
41002,36216
40938,99310
31626,23184
48945,59601
10677,66227
30199,61361
32126,77199
36895,12191
23434,17544
26368,4687
19461,93713
42583,94066
11055,13078
5420,92484
32755,23736
49530,98850
38977,57360
3749,28331
2512,21711
39114,27821
26329,334
42080,90721
41659,89081
16912,3943
30372,72541
17172,43284
12708,89308
26555,41787
4751,49835
49955,64236
32237,40361
26581,13922
16451,79630
21987,53159
12879,13434
3031,83815
25118,81557
33431,50608
24998,46763
23597,42485
25721,26909
6709,8734
18992,49259
23294,417
953,52163
23468,44999
11490,20939
39943,86263
11429,16837
47111,91652
6906,85550
20612,75247
23794,78571
48127,12480
48513,51942
35147,79629
11489,43
22413,42160
37747,25070
29598,81772
8155,56644
17801,38793
1148,81995
26235,70132
22799,72144
26544,57322
397,7247
48268,41777
49640,44599
10682,25393
49886,94568
1561,21340
20159,26155
37391,33203
35461,14215
25340,99076
3646,95862
32456,71234
29071,95302
31834,19955
38539,98536
8292,34127
14216,57319
46763,11142
2949,25091
40652,45042
18932,26493
43982,82459
34951,25611
14958,8279
10799,49427
27874,72847
231,48871
34235,42097
20216,38744
34091,12222
20224,88010
33439,8272
42186,88535
27762,79650
36940,14147
48728,36585
49518,38146
20601,15243
3872,37011
3856,67937
7212,9431
34523,85538
32934,81613
6738,28186
11639,375
4424,8487
34020,39158
31,64643
7046,53069
40525,7237
1435,95925
33368,23662
34720,81486
17130,45992
47160,79246
2318,73030
30884,79220
15917,82346
26228,70287
9236,13798
40860,63474
39498,84404
16718,43326
30771,38345
48146,46978
44223,92010
46545,64340
2190,49987
24733,90923
49920,54774
24716,94542
6287,46976
9822,6619
5354,68835
33695,5289
39684,49215
21595,10361
19770,82103
4841,6401
40550,89692
45510,8413
1057,15959
35637,64700
46025,60950
34489,14031
32358,42457
45176,45142
4256,50202
27358,9339
41992,46451
38073,68260
29697,72437
12660,53781
47922,27523
22632,51885
945,35605
23672,69217
24240,11893
14822,17693
17133,90113
23989,66205
10901,63919
20915,13067
31980,85335
31961,62860
25005,1929
47341,23526
4207,17741
39190,80076
26867,69986
45429,24991
14982,39790
27803,69364
15662,23716
38775,17889
30227,15748
21125,2575
4127,3575
45033,35929
46071,2295
17519,44669
14879,28583
1708,1949
36735,44877
41303,52931
9621,34782
18137,59681
45998,21153
24166,92471
33679,19510
2082,53075
29658,74424
22315,52214
29507,97587
46158,92624
19497,12102
16565,28429
39083,43768
45558,95707
24171,46599
14229,81119
5178,83882
4526,87455
17708,98225
43068,41099
30579,64886
40946,34366
40118,59204
23278,64994
20627,48212
29216,8598
9448,78805
22096,97032
4651,51153
40114,12443
5281,57932
38924,80327
25807,42728
45803,11675
39963,82669
39895,62546
14311,21693
4194,94138
42359,13497
23144,7801
6298,61601
10557,2361
49939,4379
23640,12247
15116,69179
12966,16392
28457,46209
38643,40706
49282,25143
8979,94589
986,66283
17119,9707
12266,56192
19752,4459
39126,94100
23938,88472
26542,49607
43767,87177
3447,16625
49299,86874
39621,55374
42681,34732
37141,79857
1911,41587
11693,48630
25000,45524
9697,90039
23155,76781
43638,61719
24906,53769
6900,98824
36555,70190
49411,28916
30920,59830
21705,87358
41860,80168
13292,83546
9393,52567
5144,69250
11442,27053
8861,43663
177,84509
28516,11810
8154,62981
21638,34778
40880,30375
35269,28457
10208,28817
38666,21354
48882,85579
16601,45488
45197,75515
48935,57066
29360,49313
28430,57510
5502,88446
11529,57642
23609,81518
37128,27662
7214,48828
36173,91781
26939,29819
18728,32426
13382,32778
9965,57846
26532,91922
17301,92906
12867,10644
38908,20858
33914,83860
12805,24075
34660,32743
49602,73257
29544,54722
21478,74381
32689,19643
24277,85255
17829,39747
33174,4324
45512,58981
9192,98542
40186,70731
46367,84518
19857,51237
42105,59392
23181,41117
4366,58597
16920,87454
20452,66825
49365,68071
32301,98120
5441,44782
29334,23697
24535,60229
42830,47485
8703,98925
15213,38599
12079,24905
42202,72214
11166,87475
22761,31271
13066,21412
22177,97893
49697,19016
19905,56969
25373,838
4676,48851
33703,69464
33919,82220
16970,95935
29345,918
36303,78209
41142,42278
46347,19953
20449,45895
34190,23081
35850,14035
26487,16424
12255,27255
13304,62584
49315,51187
3143,75596
48306,35355
1364,31271
7286,83508
19074,88672
24115,3574
17027,80326
2981,85356
29737,66290
14633,89755
9744,85162
25146,29430
13794,44328
17731,17775
32098,56612
29107,36688
1204,38728
20936,68809
35758,91262
41416,1392
16971,60221
43153,54654
29613,75531
9566,93667
49432,12074
24542,62390
11036,80648
5259,25104
16327,57305
24074,20137
27521,81950
4,12078
42297,36615
37208,50163
39463,80559
1196,19804
25119,91277
18654,66802
4177,98867
7415,22961
6598,55304
20694,34024
49929,1915
23956,5737
41203,93845
19323,6532
40313,55185
2172,46913
942,22096
17331,56095
40873,74933
18587,87708
38663,62642
32674,40262
10004,83182
48507,43250
8044,63659
25899,30206
3432,22758
49279,67436
16317,82486
3530,88834
30759,96229
2869,82736
12754,3360
8871,80355
30502,51751
17596,24770
28483,78652
42916,69653
16951,94748
27869,41693
33772,2600
33839,95714
17717,83109
42048,38779
33882,86084
16576,50781
40489,82919
42724,76118
25881,83738
36712,39784
191,65947
48772,50049
37029,47642
34632,30102
22554,48339
39327,61563
39430,68716
6886,70030
20651,64270
12751,54205
47133,19261
17721,66118
46780,46895
2037,74803
17641,6255
26417,75298
11918,36123
13973,39103
33628,32262
7652,47874
47795,74859
24401,93445
2427,56224
12456,46276
10754,23340
27579,22629
29808,82543
34485,22628
14624,72740
17838,83695
49898,24432
13573,64372
48266,76063
19296,41493
9276,74625
20897,6811
30927,71992
12091,65267
21732,33327
26690,25046
12289,3047
27426,9212
20997,47794
46048,62834
34747,34178
21578,55855
17653,73632
22148,81174
27681,6166
33151,36025
34895,93167
38580,26749
19358,32229
2076,63826
30408,55202
27774,56329
17624,35766
27380,16916
9044,26111
4588,38615
1824,13226
3826,23923
41059,34907
11969,193
15342,37464
25718,28409
46401,73656
21122,49411
40639,84700
41616,62422
42218,60844
18966,26024
6950,67441
30665,86149
1455,30445
38487,25252
13026,84429
46031,73494
46537,66269
18128,74712
23693,92684
34875,26586
5959,39593
8201,85225
17246,11790
98,38433
36583,1136
37063,94812
28630,32325
37766,39638
26626,41667
20219,99090
16591,83066
15446,99579
40161,27808
41836,62755
1967,65398
37846,23108
47453,75886
29790,3441
10837,95278
20422,87851
28924,21364
13934,11495
24593,77652
36425,22569
16366,24937
4951,44366
37501,48582
30742,23779
3386,88328
17022,93893
49682,23893
38542,38691
48922,97601
39792,58047
45271,21049
40058,71585
25171,34544
39093,18771
19554,97849
39244,39019
46448,19660
8493,85694
43639,61046
35747,16924
31899,26677
40376,83558
49635,93962
31689,83443
21789,95074
45950,50245
48802,57500
47479,86969
3004,57165
14283,67378
29478,75095
25901,23773
24645,36449
12863,37072
15420,18610
8463,10337
27862,46795
24276,33918
47650,98265
33068,19720
10469,35837
15892,38935
11405,73796
12262,46548
42824,45819
24726,10562
17074,54586
3315,25386
27618,11623
40607,43857
23364,24929
41422,2057
38014,21450
35541,7235
19879,61881
18145,85787
44172,58703
48664,23390
25741,76897
19527,9271
18799,63952
48347,64332
31128,87354
48433,83778
2127,81231
20747,93449
43094,20612
43170,17840
20327,20685
43393,53509
19062,24835
31716,9565
43026,75417
18749,42514
26504,84855
23909,8080
25755,35522
14439,62000
40308,76574
8617,24564
32628,46574
19661,89545
26173,65257
22348,17415
28728,47592
43271,66024
4186,97923
622,52204
22962,51263
12538,12384
43043,94341
30773,291
26117,94566
42860,65195
32769,32015
45368,25005
22676,63138
30819,38115
39732,60596
45118,11311
29773,43800
48338,44273
46301,26287
7428,29975
16532,92775
3836,92489
2956,45640
36646,32205
35137,92943
28401,20126
11987,41035
32850,25369
39685,19374
15970,23922
47906,29445
28892,80762
11566,22890
46840,72820
18098,85371
9578,22498
25103,27409
13104,36365
17986,57577
22693,64725
37935,3040
1706,74135
47000,10769
31569,17609
29901,56891
6767,68888
33460,90577
40252,88739
45981,44020
4241,91986
48569,85571
43282,70435
49674,46539
13165,21304
44099,86777
11946,36939
33510,61856
33088,95680
19578,230
25042,68302
32115,47240
8083,52620
7771,97483
23160,19555
9711,28220
7505,49188
14125,94731
43971,21705
36354,25610
43696,6943
13950,98496
12883,21554
15247,769
36491,43673
26289,76643
41737,4396
12134,18777
19551,87584
1898,6515
35754,23405
39634,13399
8241,50123
19945,10102
41772,59873
26802,49831
2030,76425
45639,51738
46460,47910
31487,27336
2458,58084
47316,5162
10429,89955
41314,5969
32476,6725
18696,44121
46087,90622
45891,95293
11219,61684
48742,50546
27541,84274
35531,95430
15894,29652
1844,23159
5462,72377
3761,71833
48346,92153
20367,66458
23145,99853
12596,53522
8688,96550
24939,73190
9277,32168
16042,39909
40536,50518
5269,30840
21099,7475
25971,87571
49809,98111
46074,90950
45449,5587
20513,56800
13580,6593
6780,78531
2749,33562
16112,2918
33264,13459
3950,73574
34121,72143
20204,2042
21166,8099
46055,70414
30039,24286
14709,42594
41307,61534
715,72408
17570,92009
18969,53590
14658,5564
16693,73382
41013,37132
6949,96948
35424,48591
45562,50296
45621,25217
25875,77811
35427,70795
44598,40000
7290,43023
43968,27700
39123,85484
76,22885
14377,13912
20099,71186
9076,59096
43710,10658
14236,58108
22178,94604
15120,1867
39998,87032
14904,70611
38244,68457
2238,10399
28469,9745
32243,1272
25225,91754
2681,42832
6291,98723
33632,61876
27178,59808
20515,76629
33469,91489
28566,4272
20541,73634
24227,75331
37183,98318
3169,46787
47916,33359
9093,28289
24368,7505
25962,85593
39830,18695
45409,17266
43053,56378
36487,69744
49902,15940
35276,81504
11671,68265
44081,56238
37844,74425
37123,31056
34021,75232
16529,71036
27732,7445
31622,65706
18409,327
8784,45820
39865,15962
44472,12418
25595,10033
48838,46038
27587,41219
33285,37960
13036,78260
46923,38395
36239,94811
651,80147
38499,14134
24003,29131
26103,33463
31044,76781
22143,64515
29037,95529
26292,8161
39305,38549
26671,44461
7847,23690
18094,70668
21803,31156
40102,33188
42593,79866
39495,93577
43776,63413
820,93417
14062,66365
38161,58293
25735,72961
4482,67879
31906,45750
36669,93055
47258,85287
30274,28071
6804,71213
32116,47753
45178,73852
5357,1792
33456,80265
853,85518
29111,37061
14946,55530
41582,42028
46865,21180
39982,15510
3524,96130
28941,44310
37981,34157
14847,18173
42587,85160
11801,17232
1876,72246
25327,37159
21080,51845
26177,8167
29558,46198
11930,86443
25775,89253
39108,9625
3698,39999
26636,10476
43961,21030
41851,90604
33462,30007
196,42731
16215,52016
23202,26198
35355,28737
24197,15531
25071,3559
12550,10399
35205,25763
12740,79268
19635,10046
13329,22715
10578,37854
16705,13091
10944,21356
30615,87812
48678,4379
13866,57029
8382,88260
35790,65399
713,65423
38543,14053
34450,11645
4747,27985
2805,97962
31758,64004
48203,37250
35195,27290
42814,97305
21896,56581
20988,45639
2153,13255
11237,26261
32497,60924
25404,82314
11598,12815
46440,21941
11004,30486
10447,86446
5067,26133
46312,87039
21061,50006
6220,54628
34674,61832
32369,29630
13769,70941
154,32078
12228,6855
16268,44690
22716,76353
37676,94639
43826,96190
3614,8636
45163,26885
25803,48666
30073,55637
40866,56190
8448,32144
19586,44911
23642,87588
21247,63681
9182,91637
18068,42939
4086,21650
47254,26164
9518,54453
33738,63581
20508,99191
27165,43733
49647,59679
25361,43398
17176,97104
28298,3483
11668,62153
31062,3383
28365,98217
41269,84141
29587,20922
5001,84733
21649,11432
13123,33766
6413,29637
23805,98469
33316,7955
37210,57789
48255,84475
47413,50246
5129,71013
3793,45580
30313,11932
9835,63409
38071,36290
22740,46949
1889,95490
47794,4278
24725,26045
41114,34310
10621,2705
35314,33859
46676,50694
49815,15769
37006,22837
39936,87607
46811,90109
19609,80135
19537,54170
40529,38323
29256,34832
36275,54986
14565,98038
40724,21246
11921,19198
39131,21459
45231,19024
34191,3575
26426,39328
23078,51441
25498,64156
9216,92867
3342,71385
47850,45006
46569,91367
30361,39102
2249,23121
18156,54741
2653,63818
31422,37972
17286,51854
23815,41073
32361,60863
21236,35457
33355,26154
48341,1086
40270,41571
49497,91751
26084,26406
32924,34590
45043,21373
10661,30250
568,68874
25829,91455
4870,63345
16461,45809
16677,80590
41498,76812
8542,69418
42868,81828
26377,98753
17998,7104
5872,41796
23054,75986
