File,Line,Index,Context
Luiz_Henrique_Santos.html,133,475,"px-Flag_of_Brazil.svg.png 2x"" data-file-width=""720"" data-file-he"
Luiz_Henrique_Santos.html,133,497,"png 2x"" data-file-width=""720"" data-file-height=""504"" /></a><span"
Luiz_Henrique_Santos.html,133,973,"x-Soccerball_mask.svg.png 2x"" data-file-width=""512"" data-file-he"
Luiz_Henrique_Santos.html,133,995,"png 2x"" data-file-width=""512"" data-file-height=""512"" /></a></spa"
Luiz_Henrique_Santos.html,172,37,  27.277      1 Template:Wikidata_image
Luiz_Henrique_Santos.html,182,40,"atlinks"" class=""catlinks"" data-mw=""interface""><div id=""mw-normal"
Luiz_Henrique_Santos.html,265,1031,"a href=""https://www.wikidata.org/wiki/Q6701468"" title=""Link to c"
Luiz_Henrique_Santos.html,265,1080,"itle=""Link to connected data repository item [g]"" accesskey=""g"">"
Luiz_Henrique_Santos.html,265,1124," [g]"" accesskey=""g"">Wikidata item</a></li><li id=""t-cite""><a hre"
Luiz_Henrique_Santos.html,282,125,"><a href=""https://www.wikidata.org/wiki/Q6701468#sitelinks-wikip"
Luiz_Henrique_Santos.html,309,804," 27.277      1 Template:Wikidata_image"","" 10.03%   27.180      1"
Kim_Yonghwa.html,84,38,"ole=""presentation"" class=""metadata mbox-small noprint selfref"" s"
Kim_Yonghwa.html,86,403,"angugeo-Chosonmal.svg.png 2x"" data-file-width=""263"" data-file-he"
Kim_Yonghwa.html,86,425,"png 2x"" data-file-width=""263"" data-file-height=""371"" /></td>"
Kim_Yonghwa.html,143,229,ttp://english.chosun.com/site/data/html_dir/2009/12/03/200912030
Kim_Yonghwa.html,143,765,2Fenglish.chosun.com%2Fsite%2Fdata%2Fhtml_dir%2F2009%2F12%2F03%2
Kim_Yonghwa.html,154,165,"e <a href=""/wiki/Korean_Movie_Database"" title=""Korean Movie Data"
Kim_Yonghwa.html,154,195,"Database"" title=""Korean Movie Database"">Korean Movie Database</a"
Kim_Yonghwa.html,154,218," Movie Database"">Korean Movie Database</a></li>"
Kim_Yonghwa.html,155,160,""" title=""IMDb"">Internet Movie Database</a></li>"
Kim_Yonghwa.html,156,203,"</a> <a href=""https://www.wikidata.org/wiki/Q12588228#P3045"" tit"
Kim_Yonghwa.html,156,258,"3045"" title=""Edit this at Wikidata""><img alt=""Edit this at Wikid"
Kim_Yonghwa.html,156,291,"a""><img alt=""Edit this at Wikidata"" src=""//upload.wikimedia.org/"
Kim_Yonghwa.html,156,656,"/20px-Blue_pencil.svg.png 2x"" data-file-width=""600"" data-file-he"
Kim_Yonghwa.html,156,678,"png 2x"" data-file-width=""600"" data-file-height=""600"" /></a></li>"
Kim_Yonghwa.html,292,37, 21.767      1 Template:Wikidata_image
Kim_Yonghwa.html,301,40,"atlinks"" class=""catlinks"" data-mw=""interface""><div id=""mw-normal"
Kim_Yonghwa.html,384,999,"a href=""https://www.wikidata.org/wiki/Q12588228"" title=""Link to "
Kim_Yonghwa.html,384,1049,"itle=""Link to connected data repository item [g]"" accesskey=""g"">"
Kim_Yonghwa.html,384,1093," [g]"" accesskey=""g"">Wikidata item</a></li><li id=""t-cite""><a hre"
Kim_Yonghwa.html,401,125,"><a href=""https://www.wikidata.org/wiki/Q12588228#sitelinks-wiki"
Kim_Yonghwa.html,428,862," 21.767      1 Template:Wikidata_image"",""  7.18%   20.464      1"
GbiriNiragu_language.html,560,18,"<table class=""metadata plainlinks stub"" role=""presen"
GbiriNiragu_language.html,610,40,"atlinks"" class=""catlinks"" data-mw=""interface""><div id=""mw-normal"
GbiriNiragu_language.html,693,1035,"a href=""https://www.wikidata.org/wiki/Q3913936"" title=""Link to c"
GbiriNiragu_language.html,693,1084,"itle=""Link to connected data repository item [g]"" accesskey=""g"">"
GbiriNiragu_language.html,693,1128," [g]"" accesskey=""g"">Wikidata item</a></li><li id=""t-cite""><a hre"
GbiriNiragu_language.html,710,125,"><a href=""https://www.wikidata.org/wiki/Q3913936#sitelinks-wikip"
Yasid.html,6,398,"egories"":[""Coordinates on Wikidata"",""Articles containing Arabic-"
Yasid.html,60,640,"ine_location_map_wide.png 2x"" data-file-width=""614"" data-file-he"
Yasid.html,60,662,"png 2x"" data-file-width=""614"" data-file-height=""1141"" /></a>"
Yasid.html,62,378,".svg/12px-Red_pog.svg.png 2x"" data-file-width=""64"" data-file-hei"
Yasid.html,62,399,".png 2x"" data-file-width=""64"" data-file-height=""64"" /></div>"
Yasid.html,72,333,"aps, aerial photos, and other data for this location""><span clas"
Yasid.html,72,590,"aps, aerial photos, and other data for this location"">32.2965694"
Yasid.html,72,1181,"aps, aerial photos, and other data for this location""><span clas"
Yasid.html,72,1438,"aps, aerial photos, and other data for this location"">32.2965694"
Yasid.html,162,484,"x-Governate_of_Nablus.png 2x"" data-file-width=""1066"" data-file-h"
Yasid.html,162,507,"ng 2x"" data-file-width=""1066"" data-file-height=""1223"" /></a><br "
Yasid.html,163,498,"Flag_of_Palestine.svg.png 2x"" data-file-width=""1200"" data-file-h"
Yasid.html,163,521,"ng 2x"" data-file-width=""1200"" data-file-height=""600"" /></a></spa"
Yasid.html,261,18,"<table class=""metadata plainlinks stub"" role=""presen"
Yasid.html,263,416,"0px-Geographylogo.svg.png 2x"" data-file-width=""160"" data-file-he"
Yasid.html,263,438,"png 2x"" data-file-width=""160"" data-file-height=""160"" /></a></td>"
Yasid.html,312,40,"atlinks"" class=""catlinks"" data-mw=""interface""><div id=""mw-normal"
Yasid.html,312,722,"tegory:Coordinates_on_Wikidata"" title=""Category:Coordinates on W"
Yasid.html,312,763,"tegory:Coordinates on Wikidata"">Coordinates on Wikidata</a></li>"
Yasid.html,312,788,"idata"">Coordinates on Wikidata</a></li><li><a href=""/wiki/Catego"
Yasid.html,395,971,"a href=""https://www.wikidata.org/wiki/Q6897577"" title=""Link to c"
Yasid.html,395,1020,"itle=""Link to connected data repository item [g]"" accesskey=""g"">"
Yasid.html,395,1064," [g]"" accesskey=""g"">Wikidata item</a></li><li id=""t-cite""><a hre"
Yasid.html,420,125,"><a href=""https://www.wikidata.org/wiki/Q6897577#sitelinks-wikip"
2001_NCAA_Division_I_Field_Hockey_Championship.html,47,454,"the_United_States.svg.png 2x"" data-file-width=""1235"" data-file-h"
2001_NCAA_Division_I_Field_Hockey_Championship.html,47,477,"ng 2x"" data-file-width=""1235"" data-file-height=""650"" />&#160;</s"
2001_NCAA_Division_I_Field_Hockey_Championship.html,498,40,"atlinks"" class=""catlinks"" data-mw=""interface""><div id=""mw-normal"
2001_NCAA_Division_I_Field_Hockey_Championship.html,581,1135,"a href=""https://www.wikidata.org/wiki/Q16153124"" title=""Link to "
2001_NCAA_Division_I_Field_Hockey_Championship.html,581,1185,"itle=""Link to connected data repository item [g]"" accesskey=""g"">"
2001_NCAA_Division_I_Field_Hockey_Championship.html,581,1229," [g]"" accesskey=""g"">Wikidata item</a></li><li id=""t-cite""><a hre"
2001_NCAA_Division_I_Field_Hockey_Championship.html,598,124,"><a href=""https://www.wikidata.org/wiki/Q16153124#sitelinks-wiki"
Ctenodes_zonata.html,116,18,"<table class=""metadata plainlinks stub"" role=""presen"
Ctenodes_zonata.html,166,40,"atlinks"" class=""catlinks"" data-mw=""interface""><div id=""mw-normal"
Ctenodes_zonata.html,249,1011,"a href=""https://www.wikidata.org/wiki/Q5191656"" title=""Link to c"
Ctenodes_zonata.html,249,1060,"itle=""Link to connected data repository item [g]"" accesskey=""g"">"
Ctenodes_zonata.html,249,1104," [g]"" accesskey=""g"">Wikidata item</a></li><li id=""t-cite""><a hre"
Ctenodes_zonata.html,266,125,"><a href=""https://www.wikidata.org/wiki/Q5191656#sitelinks-wikip"
EDP_Sarichioi_Wind_Farm.html,6,454,"rticles missing geocoordinate data"",""All articles needing coordi"
EDP_Sarichioi_Wind_Farm.html,181,37,"n id=""coordinates"" class=""metadata coord-missing""></span></p>"
EDP_Sarichioi_Wind_Farm.html,183,18,"<table class=""metadata plainlinks stub"" role=""presen"
EDP_Sarichioi_Wind_Farm.html,185,430,"x-Flag_of_Romania.svg.png 2x"" data-file-width=""600"" data-file-he"
EDP_Sarichioi_Wind_Farm.html,185,452,"png 2x"" data-file-width=""600"" data-file-height=""400"" /></a></td>"
EDP_Sarichioi_Wind_Farm.html,197,18,"<table class=""metadata plainlinks stub"" role=""presen"
EDP_Sarichioi_Wind_Farm.html,199,404,"PG/80px-Micon-Turbine.JPG 2x"" data-file-width=""1600"" data-file-h"
EDP_Sarichioi_Wind_Farm.html,199,427,"PG 2x"" data-file-width=""1600"" data-file-height=""1200"" /></a></td"
EDP_Sarichioi_Wind_Farm.html,248,40,"atlinks"" class=""catlinks"" data-mw=""interface""><div id=""mw-normal"
EDP_Sarichioi_Wind_Farm.html,248,784,"les_missing_geocoordinate_data"" title=""Category:Romania articles"
EDP_Sarichioi_Wind_Farm.html,248,845,"les missing geocoordinate data"">Romania articles missing geocoor"
EDP_Sarichioi_Wind_Farm.html,248,890,"les missing geocoordinate data</a></li><li><a href=""/wiki/Catego"
EDP_Sarichioi_Wind_Farm.html,331,1043,"a href=""https://www.wikidata.org/wiki/Q5322867"" title=""Link to c"
EDP_Sarichioi_Wind_Farm.html,331,1092,"itle=""Link to connected data repository item [g]"" accesskey=""g"">"
EDP_Sarichioi_Wind_Farm.html,331,1136," [g]"" accesskey=""g"">Wikidata item</a></li><li id=""t-cite""><a hre"
EDP_Sarichioi_Wind_Farm.html,348,124,"><a href=""https://www.wikidata.org/wiki/Q5322867#sitelinks-wikip"
Coup_d27C3A9tat.html,6,936,"ith local link same as on Wikidata"",""Use dmy dates from April 20"
Coup_d27C3A9tat.html,55,796,"%A9_guidant_le_peuple.jpg 2x"" data-file-width=""3133"" data-file-h"
Coup_d27C3A9tat.html,55,819,"pg 2x"" data-file-width=""3133"" data-file-height=""2480"" /></a></td"
Coup_d27C3A9tat.html,195,600,"loured_voting_box.svg.png 2x"" data-file-width=""160"" data-file-he"
Coup_d27C3A9tat.html,195,622,"png 2x"" data-file-width=""160"" data-file-height=""160"" /></a> <a h"
Coup_d27C3A9tat.html,209,1107,"/22px-Loudspeaker.svg.png 2x"" data-file-width=""20"" data-file-hei"
Coup_d27C3A9tat.html,209,1128,".png 2x"" data-file-width=""20"" data-file-height=""20"" /></a>&#160;"
Coup_d27C3A9tat.html,209,1330,"/span>&#160;<small class=""metadata audiolinkinfo"" style=""cursor:"
Coup_d27C3A9tat.html,263,39,n Thyne and Jonathan Powell's dataset of coups defines attempted
Coup_d27C3A9tat.html,274,57,"ne and Jonathan Powell's coup dataset, there were 457 coup attem"
Coup_d27C3A9tat.html,287,29,"<table class=""plainlinks metadata ambox ambox-content ambox-Ref"
Coup_d27C3A9tat.html,290,441,"Question_book-new.svg.png 2x"" data-file-width=""512"" data-file-he"
Coup_d27C3A9tat.html,290,463,"png 2x"" data-file-width=""512"" data-file-height=""399"" /></a></div"
Coup_d27C3A9tat.html,295,29,"<table class=""plainlinks metadata ambox ambox-content"" role=""pr"
Coup_d27C3A9tat.html,298,524,"l_Clear_app_kedit.svg.png 2x"" data-file-width=""128"" data-file-he"
Coup_d27C3A9tat.html,298,546,"png 2x"" data-file-width=""128"" data-file-height=""128"" /></a></div"
Coup_d27C3A9tat.html,363,391,"46px-Flag_of_Oman.svg.png 2x"" data-file-width=""600"" data-file-he"
Coup_d27C3A9tat.html,363,413,"png 2x"" data-file-width=""600"" data-file-height=""300"" />&#160;</s"
Coup_d27C3A9tat.html,371,469,"Equatorial_Guinea.svg.png 2x"" data-file-width=""1200"" data-file-h"
Coup_d27C3A9tat.html,371,492,"ng 2x"" data-file-width=""1200"" data-file-height=""800"" />&#160;</s"
Coup_d27C3A9tat.html,379,403,"px-Flag_of_Uganda.svg.png 2x"" data-file-width=""900"" data-file-he"
Coup_d27C3A9tat.html,379,425,"png 2x"" data-file-width=""900"" data-file-height=""600"" />&#160;</s"
Coup_d27C3A9tat.html,387,397,"6px-Flag_of_Sudan.svg.png 2x"" data-file-width=""600"" data-file-he"
Coup_d27C3A9tat.html,387,419,"png 2x"" data-file-width=""600"" data-file-height=""300"" />&#160;</s"
Coup_d27C3A9tat.html,395,391,"45px-Flag_of_Chad.svg.png 2x"" data-file-width=""450"" data-file-he"
Coup_d27C3A9tat.html,395,413,"png 2x"" data-file-width=""450"" data-file-height=""300"" />&#160;</s"
Coup_d27C3A9tat.html,404,409,"x-Flag_of_Eritrea.svg.png 2x"" data-file-width=""1000"" data-file-h"
Coup_d27C3A9tat.html,404,432,"ng 2x"" data-file-width=""1000"" data-file-height=""500"" />&#160;</s"
Coup_d27C3A9tat.html,412,415,"-Flag_of_Cambodia.svg.png 2x"" data-file-width=""625"" data-file-he"
Coup_d27C3A9tat.html,412,437,"png 2x"" data-file-width=""625"" data-file-height=""400"" />&#160;</s"
Coup_d27C3A9tat.html,420,517,"blic_of_the_Congo.svg.png 2x"" data-file-width=""600"" data-file-he"
Coup_d27C3A9tat.html,420,539,"png 2x"" data-file-width=""600"" data-file-height=""400"" />&#160;</s"
Coup_d27C3A9tat.html,428,391,"46px-Flag_of_Fiji.svg.png 2x"" data-file-width=""1200"" data-file-h"
Coup_d27C3A9tat.html,428,414,"ng 2x"" data-file-width=""1200"" data-file-height=""600"" />&#160;</s"
Coup_d27C3A9tat.html,436,427,"lag_of_Mauritania.svg.png 2x"" data-file-width=""900"" data-file-he"
Coup_d27C3A9tat.html,436,449,"png 2x"" data-file-width=""900"" data-file-height=""600"" />&#160;</s"
Coup_d27C3A9tat.html,444,397,"5px-Flag_of_Egypt.svg.png 2x"" data-file-width=""900"" data-file-he"
Coup_d27C3A9tat.html,444,419,"png 2x"" data-file-width=""900"" data-file-height=""600"" />&#160;</s"
Coup_d27C3A9tat.html,452,415,"-Flag_of_Thailand.svg.png 2x"" data-file-width=""900"" data-file-he"
Coup_d27C3A9tat.html,452,437,"png 2x"" data-file-width=""900"" data-file-height=""600"" />&#160;</s"
Coup_d27C3A9tat.html,460,397,"5px-Flag_of_Yemen.svg.png 2x"" data-file-width=""450"" data-file-he"
Coup_d27C3A9tat.html,460,419,"png 2x"" data-file-width=""450"" data-file-height=""300"" />&#160;</s"
Coup_d27C3A9tat.html,496,721,"coups from 1950 to 2010 A new dataset""</a>. <i>Journal of Peace "
Coup_d27C3A9tat.html,496,1368,coups+from+1950+to+2010+A+new+dataset&amp;rft.aufirst=Jonathan+M
Coup_d27C3A9tat.html,548,194,oups from 1950 to 2010: A new dataset' in the <i>Journal of Peac
Coup_d27C3A9tat.html,565,459,"iktionary-logo-v2.svg.png 2x"" data-file-width=""391"" data-file-he"
Coup_d27C3A9tat.html,565,481,"png 2x"" data-file-width=""391"" data-file-height=""391"" /></a> The "
Coup_d27C3A9tat.html,566,402,"24px-Commons-logo.svg.png 2x"" data-file-width=""1024"" data-file-h"
Coup_d27C3A9tat.html,566,425,"ng 2x"" data-file-width=""1024"" data-file-height=""1376"" /></a> Med"
Coup_d27C3A9tat.html,1165,40,"atlinks"" class=""catlinks"" data-mw=""interface""><div id=""mw-normal"
Coup_d27C3A9tat.html,1165,2767,"local_link_same_as_on_Wikidata"" title=""Category:Commons category"
Coup_d27C3A9tat.html,1165,2837,"local link same as on Wikidata"">Commons category with local link"
Coup_d27C3A9tat.html,1165,2891,"local link same as on Wikidata</a></li><li><a href=""/wiki/Catego"
Coup_d27C3A9tat.html,1248,1023,"a href=""https://www.wikidata.org/wiki/Q45382"" title=""Link to con"
Coup_d27C3A9tat.html,1248,1070,"itle=""Link to connected data repository item [g]"" accesskey=""g"">"
Coup_d27C3A9tat.html,1248,1114," [g]"" accesskey=""g"">Wikidata item</a></li><li id=""t-cite""><a hre"
Coup_d27C3A9tat.html,1273,125,"><a href=""https://www.wikidata.org/wiki/Q45382#sitelinks-wikiped"
Holly_Golightly_(comics).html,49,516,"_Holly-Comic_Con_2006.jpg 2x"" data-file-width=""395"" data-file-he"
Holly_Golightly_(comics).html,49,538,"jpg 2x"" data-file-width=""395"" data-file-height=""400"" /></a>"
Holly_Golightly_(comics).html,80,481,"60px-Jim_holly_balent.png 2x"" data-file-width=""486"" data-file-he"
Holly_Golightly_(comics).html,80,503,"png 2x"" data-file-width=""486"" data-file-height=""810"" /></a>"
Holly_Golightly_(comics).html,96,315,"e <a href=""/wiki/Grand_Comics_Database"" title=""Grand Comics Data"
Holly_Golightly_(comics).html,96,345,"Database"" title=""Grand Comics Database"">Grand Comics Database</a"
Holly_Golightly_(comics).html,96,368,"Comics Database"">Grand Comics Database</a></span></li>"
Holly_Golightly_(comics).html,161,40,"atlinks"" class=""catlinks"" data-mw=""interface""><div id=""mw-normal"
Holly_Golightly_(comics).html,244,1047,"a href=""https://www.wikidata.org/wiki/Q4950378"" title=""Link to c"
Holly_Golightly_(comics).html,244,1096,"itle=""Link to connected data repository item [g]"" accesskey=""g"">"
Holly_Golightly_(comics).html,244,1140," [g]"" accesskey=""g"">Wikidata item</a></li><li id=""t-cite""><a hre"
Holly_Golightly_(comics).html,261,125,"><a href=""https://www.wikidata.org/wiki/Q4950378#sitelinks-wikip"
Johann_Christoph_Hoffbauer.html,96,40,"atlinks"" class=""catlinks"" data-mw=""interface""><div id=""mw-normal"
Johann_Christoph_Hoffbauer.html,179,1055,"a href=""https://www.wikidata.org/wiki/Q1427244"" title=""Link to c"
Johann_Christoph_Hoffbauer.html,179,1104,"itle=""Link to connected data repository item [g]"" accesskey=""g"">"
Johann_Christoph_Hoffbauer.html,179,1148," [g]"" accesskey=""g"">Wikidata item</a></li><li id=""t-cite""><a hre"
Johann_Christoph_Hoffbauer.html,196,125,"><a href=""https://www.wikidata.org/wiki/Q1427244#sitelinks-wikip"
Matthew_Liptak.html,267,40,"atlinks"" class=""catlinks"" data-mw=""interface""><div id=""mw-normal"
Matthew_Liptak.html,350,1007,"a href=""https://www.wikidata.org/wiki/Q6790878"" title=""Link to c"
Matthew_Liptak.html,350,1056,"itle=""Link to connected data repository item [g]"" accesskey=""g"">"
Matthew_Liptak.html,350,1100," [g]"" accesskey=""g"">Wikidata item</a></li><li id=""t-cite""><a hre"
Matthew_Liptak.html,367,124,"><a href=""https://www.wikidata.org/wiki/Q6790878#sitelinks-wikip"
Programa_Mejorando_tu_Autoestima.html,43,102,"ble class=""plainlinks metadata ambox ambox-content ambox-multipl"
Programa_Mejorando_tu_Autoestima.html,46,386,"x-Ambox_important.svg.png 2x"" data-file-width=""40"" data-file-hei"
Programa_Mejorando_tu_Autoestima.html,46,407,".png 2x"" data-file-width=""40"" data-file-height=""40"" /></div>"
Programa_Mejorando_tu_Autoestima.html,51,29,"<table class=""plainlinks metadata ambox ambox-style ambox-Orpha"
Programa_Mejorando_tu_Autoestima.html,54,429,"0px-Wiki_letter_w.svg.png 2x"" data-file-width=""44"" data-file-hei"
Programa_Mejorando_tu_Autoestima.html,54,450,".png 2x"" data-file-width=""44"" data-file-height=""44"" /></a></div>"
Programa_Mejorando_tu_Autoestima.html,59,29,"<table class=""plainlinks metadata ambox ambox-content ambox-Not"
Programa_Mejorando_tu_Autoestima.html,62,386,"x-Ambox_important.svg.png 2x"" data-file-width=""40"" data-file-hei"
Programa_Mejorando_tu_Autoestima.html,62,407,".png 2x"" data-file-width=""40"" data-file-height=""40"" /></div>"
Programa_Mejorando_tu_Autoestima.html,149,40,"atlinks"" class=""catlinks"" data-mw=""interface""><div id=""mw-normal"
Programa_Mejorando_tu_Autoestima.html,232,1079,"a href=""https://www.wikidata.org/wiki/Q7248438"" title=""Link to c"
Programa_Mejorando_tu_Autoestima.html,232,1128,"itle=""Link to connected data repository item [g]"" accesskey=""g"">"
Programa_Mejorando_tu_Autoestima.html,232,1172," [g]"" accesskey=""g"">Wikidata item</a></li><li id=""t-cite""><a hre"
Programa_Mejorando_tu_Autoestima.html,249,124,"><a href=""https://www.wikidata.org/wiki/Q7248438#sitelinks-wikip"
Philaeus.html,51,488,"0px-Philaeus_chrysops.jpg 2x"" data-file-width=""2592"" data-file-h"
Philaeus.html,51,511,"pg 2x"" data-file-width=""2592"" data-file-height=""1757"" /></a></td"
Philaeus.html,168,104,"ot;""><a href=""https://www.wikidata.org/wiki/Wikidata:WikiProject"
Philaeus.html,168,122,"s://www.wikidata.org/wiki/Wikidata:WikiProject_Taxonomy"" class="""
Philaeus.html,168,174,"omy"" class=""extiw"" title=""wikidata:Wikidata:WikiProject Taxonomy"
Philaeus.html,168,183,"s=""extiw"" title=""wikidata:Wikidata:WikiProject Taxonomy"">Taxon i"
Philaeus.html,185,18,"<table class=""metadata plainlinks stub"" role=""presen"
Philaeus.html,187,488,"alodes_jumping_spider.jpg 2x"" data-file-width=""1069"" data-file-h"
Philaeus.html,187,511,"pg 2x"" data-file-width=""1069"" data-file-height=""792"" /></a></td>"
Philaeus.html,236,40,"atlinks"" class=""catlinks"" data-mw=""interface""><div id=""mw-normal"
Philaeus.html,319,983,"a href=""https://www.wikidata.org/wiki/Q140614"" title=""Link to co"
Philaeus.html,319,1031,"itle=""Link to connected data repository item [g]"" accesskey=""g"">"
Philaeus.html,319,1075," [g]"" accesskey=""g"">Wikidata item</a></li><li id=""t-cite""><a hre"
Philaeus.html,344,125,"><a href=""https://www.wikidata.org/wiki/Q140614#sitelinks-wikipe"
SalemAuburn_Streets_Historic_District.html,6,464,"egories"":[""Coordinates on Wikidata"",""Historic districts in Middl"
SalemAuburn_Streets_Historic_District.html,64,655,"ets_Historic_District.jpg 2x"" data-file-width=""3024"" data-file-h"
SalemAuburn_Streets_Historic_District.html,64,678,"pg 2x"" data-file-width=""3024"" data-file-height=""1998"" /></a></td"
SalemAuburn_Streets_Historic_District.html,72,711,"etts_location_map.svg.png 2x"" data-file-width=""1050"" data-file-h"
SalemAuburn_Streets_Historic_District.html,72,734,"ng 2x"" data-file-width=""1050"" data-file-height=""717"" /></a>"
SalemAuburn_Streets_Historic_District.html,74,445,".svg/14px-Red_pog.svg.png 2x"" data-file-width=""64"" data-file-hei"
SalemAuburn_Streets_Historic_District.html,74,466,".png 2x"" data-file-width=""64"" data-file-height=""64"" /></div>"
SalemAuburn_Streets_Historic_District.html,83,634,"edcp_location_map.svg.png 2x"" data-file-width=""1181"" data-file-h"
SalemAuburn_Streets_Historic_District.html,83,657,"ng 2x"" data-file-width=""1181"" data-file-height=""731"" /></a>"
SalemAuburn_Streets_Historic_District.html,85,445,".svg/14px-Red_pog.svg.png 2x"" data-file-width=""64"" data-file-hei"
SalemAuburn_Streets_Historic_District.html,85,466,".png 2x"" data-file-width=""64"" data-file-height=""64"" /></div>"
SalemAuburn_Streets_Historic_District.html,100,325,"aps, aerial photos, and other data for this location""><span clas"
SalemAuburn_Streets_Historic_District.html,100,575,"aps, aerial photos, and other data for this location"">42.36278°N"
SalemAuburn_Streets_Historic_District.html,100,1183,"aps, aerial photos, and other data for this location""><span clas"
SalemAuburn_Streets_Historic_District.html,100,1433,"aps, aerial photos, and other data for this location"">42.36278°N"
SalemAuburn_Streets_Historic_District.html,140,438,"focus.nps.gov/natreg/docs/All_Data.html"">""National Register Info"
SalemAuburn_Streets_Historic_District.html,140,878,nps.gov%2Fnatreg%2Fdocs%2FAll_Data.html&amp;rft.jtitle=National+
SalemAuburn_Streets_Historic_District.html,176,414,"0px-Map_of_USA_MA.svg.png 2x"" data-file-width=""286"" data-file-he"
SalemAuburn_Streets_Historic_District.html,176,436,"png 2x"" data-file-width=""286"" data-file-height=""186"" /></div>"
SalemAuburn_Streets_Historic_District.html,399,412,"er_Hexagonal_Icon.svg.png 2x"" data-file-width=""36"" data-file-hei"
SalemAuburn_Streets_Historic_District.html,399,433,".png 2x"" data-file-width=""36"" data-file-height=""31"" /> <a href="""
SalemAuburn_Streets_Historic_District.html,400,360,"2px-Portal-puzzle.svg.png 2x"" data-file-width=""32"" data-file-hei"
SalemAuburn_Streets_Historic_District.html,400,381,".png 2x"" data-file-width=""32"" data-file-height=""28"" /> <a href="""
SalemAuburn_Streets_Historic_District.html,401,360,"2px-Portal-puzzle.svg.png 2x"" data-file-width=""32"" data-file-hei"
SalemAuburn_Streets_Historic_District.html,401,381,".png 2x"" data-file-width=""32"" data-file-height=""28"" /> <a href="""
SalemAuburn_Streets_Historic_District.html,445,40,"atlinks"" class=""catlinks"" data-mw=""interface""><div id=""mw-normal"
SalemAuburn_Streets_Historic_District.html,445,1106,"tegory:Coordinates_on_Wikidata"" title=""Category:Coordinates on W"
SalemAuburn_Streets_Historic_District.html,445,1147,"tegory:Coordinates on Wikidata"">Coordinates on Wikidata</a></li>"
